Date,CIZ_daily_trend
2021-03-13,33
2021-03-14,40
2021-03-15,67
2021-03-16,37
2021-03-17,73
2021-03-18,89
2021-03-19,92
2021-03-20,33
2021-03-21,25
2021-03-22,44
2021-03-23,15
2021-03-24,37
2021-03-25,51
2021-03-26,100
2021-03-27,17
2021-03-28,51
2021-03-29,23
2021-03-30,46
2021-03-31,38
2021-04-01,50
2021-04-02,46
2021-04-03,27
2021-04-04,14
2021-04-05,12
2021-04-06,34
2021-04-07,47
2021-04-08,41
2021-04-09,36
2021-04-10,26
2021-04-11,20
2021-04-12,40
2021-04-13,29
2021-04-14,70
2021-04-15,24
2021-04-16,42
2021-04-17,20
2021-04-18,13
2021-04-19,41
2021-04-20,40
2021-04-21,6
2021-04-22,35
2021-04-23,36
2021-04-24,27
2021-04-25,33
2021-04-26,29
2021-04-27,40
2021-04-28,58
2021-04-29,58
2021-04-30,100
2021-05-01,100
2021-05-02,29
2021-05-03,59
2021-05-04,31
2021-05-05,45
2021-05-06,39
2021-05-07,34
2021-05-08,29
2021-05-09,30
2021-05-10,33
2021-05-11,26
2021-05-12,33
2021-05-13,34
2021-05-14,34
2021-05-15,23
2021-05-16,29
2021-05-17,64
2021-05-18,39
2021-05-19,32
2021-05-20,20
2021-05-21,47
2021-05-22,30
2021-05-23,30
2021-05-24,33
2021-05-25,58
2021-05-26,33
2021-05-27,46
2021-05-28,47
2021-05-29,30
2021-05-30,53
2021-05-31,60
2021-06-01,54
2021-06-02,18
2021-06-03,100
2021-06-04,65
2021-06-05,93
2021-06-06,31
2021-06-07,45
2021-06-08,45
2021-06-09,54
2021-06-10,55
2021-06-11,65
2021-06-12,51
2021-06-13,10
2021-06-14,63
2021-06-15,35
2021-06-16,72
2021-06-17,64
2021-06-18,37
2021-06-19,51
2021-06-20,41
2021-06-21,63
2021-06-22,81
2021-06-23,71
2021-06-24,84
2021-06-25,48
2021-06-26,42
2021-06-27,31
2021-06-28,82
2021-06-29,45
2021-06-30,27
2021-07-01,26
2021-07-02,55
2021-07-03,15
2021-07-04,31
2021-07-05,48
2021-07-06,26
2021-07-07,13
2021-07-08,74
2021-07-09,35
2021-07-10,8
2021-07-11,29
2021-07-12,27
2021-07-13,47
2021-07-14,54
2021-07-15,27
2021-07-16,21
2021-07-17,31
2021-07-18,8
2021-07-19,55
2021-07-20,35
2021-07-21,56
2021-07-22,28
2021-07-23,42
2021-07-24,31
2021-07-25,8
2021-07-26,100
2021-07-27,34
2021-07-28,7
2021-07-29,20
2021-07-30,41
2021-07-31,23
2021-08-01,32
2021-08-02,38
2021-08-03,29
2021-08-04,67
2021-08-05,66
2021-08-06,19
2021-08-07,21
2021-08-08,43
2021-08-09,29
2021-08-10,48
2021-08-11,48
2021-08-12,58
2021-08-13,10
2021-08-14,0
2021-08-15,32
2021-08-16,66
2021-08-17,9
2021-08-18,47
2021-08-19,58
2021-08-20,56
2021-08-21,95
2021-08-22,33
2021-08-23,91
2021-08-24,100
2021-08-25,28
2021-08-26,75
2021-08-27,19
2021-08-28,63
2021-08-29,0
2021-08-30,47
2021-08-31,19
2021-09-01,34
2021-09-02,45
2021-09-03,36
2021-09-04,27
2021-09-05,27
2021-09-06,82
2021-09-07,46
2021-09-08,23
2021-09-09,23
2021-09-10,47
2021-09-11,77
2021-09-12,65
2021-09-13,45
2021-09-14,44
2021-09-15,77
2021-09-16,91
2021-09-17,47
2021-09-18,39
2021-09-19,38
2021-09-20,100
2021-09-21,34
2021-09-22,44
2021-09-23,92
2021-09-24,24
2021-09-25,90
2021-09-26,51
2021-09-27,33
2021-09-28,66
2021-09-29,45
2021-09-30,45
2021-10-01,100
2021-10-02,77
2021-10-03,30
2021-10-04,90
2021-10-05,54
2021-10-06,82
2021-10-07,81
2021-10-08,85
2021-10-09,64
2021-10-10,47
2021-10-11,42
2021-10-12,71
2021-10-13,99
2021-10-14,42
2021-10-15,86
2021-10-16,48
2021-10-17,16
2021-10-18,54
2021-10-19,82
2021-10-20,67
2021-10-21,96
2021-10-22,86
2021-10-23,31
