Date,PFF_daily_trend
2021-07-12,84
2021-07-13,78
2021-07-14,59
2021-07-15,63
2021-07-16,90
2021-07-17,63
2021-07-18,66
2021-07-19,59
2021-07-20,99
2021-07-21,80
2021-07-22,49
2021-07-23,100
2021-07-24,35
2021-07-25,93
2021-07-26,80
2021-07-27,85
2021-07-28,67
2021-07-29,66
2021-07-30,64
2021-07-31,74
2021-08-01,58
2021-08-02,55
2021-08-03,76
2021-08-04,52
2021-08-05,54
2021-08-06,53
2021-08-07,76
2021-08-08,83
2021-08-09,64
2021-08-10,61
2021-08-11,66
2021-08-12,76
2021-08-13,69
2021-08-14,54
2021-08-15,61
2021-08-16,85
2021-08-17,64
2021-08-18,71
2021-08-19,64
2021-08-20,54
2021-08-21,100
2021-08-22,66
2021-08-23,75
2021-08-24,62
2021-08-25,56
2021-08-26,77
2021-08-27,72
2021-08-28,57
2021-08-29,74
2021-08-30,89
2021-08-31,82
2021-09-01,31
2021-09-02,43
2021-09-03,40
2021-09-04,40
2021-09-05,38
2021-09-06,42
2021-09-07,46
2021-09-08,33
2021-09-09,76
2021-09-10,51
2021-09-11,51
2021-09-12,34
2021-09-13,66
2021-09-14,39
2021-09-15,71
2021-09-16,64
2021-09-17,55
2021-09-18,43
2021-09-19,30
2021-09-20,84
2021-09-21,69
2021-09-22,58
2021-09-23,50
2021-09-24,35
2021-09-25,39
2021-09-26,51
2021-09-27,100
2021-09-28,58
2021-09-29,60
2021-09-30,40
2021-10-01,48
2021-10-02,40
2021-10-03,42
2021-10-04,83
2021-10-05,73
2021-10-06,62
2021-10-07,44
2021-10-08,45
2021-10-09,52
2021-10-10,59
2021-10-11,82
2021-10-12,52
2021-10-13,51
2021-10-14,54
2021-10-15,51
2021-10-16,47
2021-10-17,51
2021-10-18,100
2021-10-19,76
2021-10-20,62
2021-10-21,47
2021-10-22,47
