Date,COST_daily_trend
2021-03-05,76
2021-03-06,93
2021-03-07,97
2021-03-08,71
2021-03-09,66
2021-03-10,74
2021-03-11,72
2021-03-12,77
2021-03-13,95
2021-03-14,98
2021-03-15,67
2021-03-16,65
2021-03-17,70
2021-03-18,70
2021-03-19,74
2021-03-20,95
2021-03-21,100
2021-03-22,78
2021-03-23,73
2021-03-24,73
2021-03-25,70
2021-03-26,78
2021-03-27,100
2021-03-28,100
2021-03-29,77
2021-03-30,79
2021-03-31,77
2021-04-01,75
2021-04-02,92
2021-04-03,99
2021-04-04,100
2021-04-05,83
2021-04-06,69
2021-04-07,68
2021-04-08,69
2021-04-09,71
2021-04-10,87
2021-04-11,91
2021-04-12,72
2021-04-13,63
2021-04-14,66
2021-04-15,64
2021-04-16,67
2021-04-17,81
2021-04-18,84
2021-04-19,68
2021-04-20,62
2021-04-21,64
2021-04-22,65
2021-04-23,69
2021-04-24,85
2021-04-25,90
2021-04-26,67
2021-04-27,67
2021-04-28,68
2021-04-29,64
2021-04-30,68
2021-05-01,83
2021-05-02,90
2021-05-03,74
2021-05-04,68
2021-05-05,66
2021-05-06,68
2021-05-07,74
2021-05-08,91
2021-05-09,91
2021-05-10,71
2021-05-11,68
2021-05-12,73
2021-05-13,68
2021-05-14,76
2021-05-15,87
2021-05-16,95
2021-05-17,70
2021-05-18,66
2021-05-19,66
2021-05-20,67
2021-05-21,71
2021-05-22,85
2021-05-23,95
2021-05-24,80
2021-05-25,67
2021-05-26,66
2021-05-27,71
2021-05-28,74
2021-05-29,89
2021-05-30,100
2021-05-31,97
2021-06-01,81
2021-06-02,77
2021-06-03,75
2021-06-04,76
2021-06-05,91
2021-06-06,98
2021-06-07,75
2021-06-08,73
2021-06-09,73
2021-06-10,73
2021-06-11,77
2021-06-12,88
2021-06-13,96
2021-06-14,82
2021-06-15,80
2021-06-16,75
2021-06-17,76
2021-06-18,79
2021-06-19,90
2021-06-20,93
2021-06-21,78
2021-06-22,77
2021-06-23,72
2021-06-24,76
2021-06-25,80
2021-06-26,99
2021-06-27,100
2021-06-28,80
2021-06-29,76
2021-06-30,77
2021-07-01,70
2021-07-02,72
2021-07-03,88
2021-07-04,100
2021-07-05,91
2021-07-06,65
2021-07-07,61
2021-07-08,63
2021-07-09,68
2021-07-10,81
2021-07-11,77
2021-07-12,65
2021-07-13,63
2021-07-14,59
2021-07-15,62
2021-07-16,67
2021-07-17,81
2021-07-18,82
2021-07-19,66
2021-07-20,66
2021-07-21,63
2021-07-22,65
2021-07-23,63
2021-07-24,78
2021-07-25,85
2021-07-26,64
2021-07-27,62
2021-07-28,61
2021-07-29,62
2021-07-30,66
2021-07-31,82
2021-08-01,100
2021-08-02,84
2021-08-03,72
2021-08-04,74
2021-08-05,68
2021-08-06,71
2021-08-07,86
2021-08-08,92
2021-08-09,74
2021-08-10,69
2021-08-11,71
2021-08-12,69
2021-08-13,74
2021-08-14,85
2021-08-15,92
2021-08-16,74
2021-08-17,69
2021-08-18,71
2021-08-19,69
2021-08-20,73
2021-08-21,87
2021-08-22,90
2021-08-23,77
2021-08-24,95
2021-08-25,69
2021-08-26,68
2021-08-27,72
2021-08-28,89
2021-08-29,97
2021-08-30,77
2021-08-31,69
2021-09-01,65
2021-09-02,65
2021-09-03,72
2021-09-04,84
2021-09-05,98
2021-09-06,100
2021-09-07,72
2021-09-08,65
2021-09-09,65
2021-09-10,69
2021-09-11,80
2021-09-12,87
2021-09-13,69
2021-09-14,64
2021-09-15,62
2021-09-16,66
2021-09-17,67
2021-09-18,84
2021-09-19,88
2021-09-20,68
2021-09-21,62
2021-09-22,63
2021-09-23,69
2021-09-24,74
2021-09-25,87
2021-09-26,92
2021-09-27,71
2021-09-28,64
2021-09-29,67
2021-09-30,72
2021-10-01,74
2021-10-02,89
2021-10-03,92
2021-10-04,73
2021-10-05,72
2021-10-06,70
2021-10-07,72
2021-10-08,77
2021-10-09,93
2021-10-10,96
2021-10-11,84
2021-10-12,78
2021-10-13,75
2021-10-14,74
2021-10-15,79
2021-10-16,96
2021-10-17,100
2021-10-18,75
2021-10-19,74
2021-10-20,76
2021-10-21,75
